Endgame Type,Unit,Uses in 2.0,Avg Score in 2.0,Uses in 3.0,Avg Score in 3.0,Uses in 4.0,Avg Score in 4.0,Total Usage,Avg Score Overall
Anomaly Arbitration,Anaxa,0,,3,3.33,2,4.0,5,3.6
Anomaly Arbitration,Archer,0,,0,,4,2.25,4,2.25
Anomaly Arbitration,Ashveil,0,,0,,4,2.0,4,2.0
Anomaly Arbitration,Aventurine,0,,3,2.67,5,2.4,8,2.5
Anomaly Arbitration,Bronya,0,,3,3.33,0,,3,3.33
Anomaly Arbitration,Cipher,0,,3,2.67,4,4.5,7,3.71
Anomaly Arbitration,DHPT,0,,3,3.33,5,3.0,8,3.12
Anomaly Arbitration,Feixiao,0,,3,2.67,4,2.5,7,2.57
Anomaly Arbitration,Gilgamesh,0,,0,,1,2.0,1,2.0
Anomaly Arbitration,Huohuo,0,,2,4.0,5,4.2,7,4.14
Anomaly Arbitration,Hysilens,0,,0,,2,6.0,2,6.0
Anomaly Arbitration,Kafka,0,,0,,2,6.0,2,6.0
Anomaly Arbitration,MBlade,0,,0,,2,2.0,2,2.0
Anomaly Arbitration,RMC,0,,2,4.0,4,3.0,6,3.33
Anomaly Arbitration,Rin Tohsaka,0,,0,,1,2.0,1,2.0
Anomaly Arbitration,Robin,0,,3,2.67,4,2.5,7,2.57
Anomaly Arbitration,Ruan Mei,0,,2,2.0,1,6.0,3,3.33
Anomaly Arbitration,Saber,0,,3,3.33,2,3.5,5,3.4
Anomaly Arbitration,Sparkle,0,,0,,5,2.8,5,2.8
Anomaly Arbitration,Sunday,0,,3,3.33,3,3.33,6,3.33
Anomaly Arbitration,Tingyun,0,,3,3.33,0,,3,3.33
Anomaly Arbitration: King,Anaxa,0,,3,4.67,1,5.0,4,4.75
Anomaly Arbitration: King,Ashveil,0,,0,,4,0.75,4,0.75
Anomaly Arbitration: King,Cipher,0,,1,4.0,2,3.5,3,3.67
Anomaly Arbitration: King,DHPT,0,,3,4.67,5,1.6,8,2.75
Anomaly Arbitration: King,Gilgamesh,0,,0,,1,0.0,1,0.0
Anomaly Arbitration: King,MBlade,0,,0,,2,0.0,2,0.0
Anomaly Arbitration: King,RMC,0,,0,,1,1.0,1,1.0
Anomaly Arbitration: King,Robin,0,,2,5.0,0,,2,5.0
Anomaly Arbitration: King,Sunday,0,,3,4.67,4,2.0,7,3.14
Apocalyptic Shadow,Aglaea,0,,1,3585.0,0,,1,3585.0
Apocalyptic Shadow,Anaxa,0,,7,3501.29,1,3553.0,8,3507.75
Apocalyptic Shadow,Archer,0,,0,,3,3694.33,3,3694.33
Apocalyptic Shadow,Argenti,0,,2,3646.5,0,,2,3646.5
Apocalyptic Shadow,Ashveil,0,,0,,2,3808.0,2,3808.0
Apocalyptic Shadow,Aventurine,3,3749.0,7,3569.29,0,,10,3591.75
Apocalyptic Shadow,Bronya,0,,3,3596.0,0,,3,3596.0
Apocalyptic Shadow,Cipher,0,,3,3515.67,2,3584.0,5,3543.0
Apocalyptic Shadow,DHPT,0,,3,3461.33,4,3602.25,7,3541.86
Apocalyptic Shadow,Dr. Ratio,2,,0,,0,,2,
Apocalyptic Shadow,Feixiao,1,3749.0,7,3620.71,2,3808.0,10,3671.0
Apocalyptic Shadow,Firefly,3,2926.0,0,,0,,3,2926.0
Apocalyptic Shadow,Gallagher,2,2926.0,1,3313.0,1,3615.0,4,3284.67
Apocalyptic Shadow,Gilgamesh,0,,0,,1,3721.0,1,3721.0
Apocalyptic Shadow,HM7,0,,5,3622.2,0,,5,3622.2
Apocalyptic Shadow,HMC,3,2926.0,0,,0,,3,2926.0
Apocalyptic Shadow,Huohuo,1,,3,3436.33,1,3424.0,5,3433.25
Apocalyptic Shadow,Hysilens,0,,0,,2,3476.5,2,3476.5
Apocalyptic Shadow,Kafka,0,,0,,2,3476.5,2,3476.5
Apocalyptic Shadow,MBlade,0,,0,,2,3823.5,2,3823.5
Apocalyptic Shadow,Moze,0,,0,,1,3926.0,1,3926.0
Apocalyptic Shadow,Mydei,0,,1,3676.0,0,,1,3676.0
Apocalyptic Shadow,Pela,2,,1,3620.0,0,,3,3620.0
Apocalyptic Shadow,Phainon,0,,1,3368.0,0,,1,3368.0
Apocalyptic Shadow,RMC,0,,6,3565.33,3,3733.67,9,3621.44
Apocalyptic Shadow,Rin Tohsaka,0,,0,,1,3831.0,1,3831.0
Apocalyptic Shadow,Robin,3,3749.0,10,3604.9,3,3699.33,16,3635.43
Apocalyptic Shadow,Ruan Mei,3,2926.0,4,3542.75,0,,7,3419.4
Apocalyptic Shadow,Saber,0,,1,3340.0,1,3721.0,2,3530.5
Apocalyptic Shadow,Seele,0,,0,,1,3843.0,1,3843.0
Apocalyptic Shadow,Sparkle,0,,0,,4,3731.5,4,3731.5
Apocalyptic Shadow,Sunday,1,3749.0,10,3521.2,3,3590.67,14,3552.36
Apocalyptic Shadow,The Herta,0,,3,3552.67,0,,3,3552.67
Apocalyptic Shadow,Tingyun,0,,1,3809.0,0,,1,3809.0
Memory of Chaos,Archer,0,,0,,1,1.0,1,1.0
Memory of Chaos,Ashveil,0,,0,,1,0.0,1,0.0
